,synapse_id,pre_cell_id,pre_mtype,sectionlist_id,sectionlist_index,seg_x,synapse_type,dep,fac,use,tau_d,delay,weight,section_name,pre_mtype_name,synapse_model,mg,NMDA_ratio
557,557,7168,6,2,2,0.328,116,677.0,19.0,0.5072111487388611,1.804900288581848,3.0998,0.982374191284,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
558,558,7168,6,2,4,0.019,116,679.0,19.0,0.5092537999153137,1.8232840299606323,3.07755,1.03629970551,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
559,559,7203,6,2,149,0.818,116,657.0,13.0,0.4837587177753448,1.5938284397125244,1.63564,0.363230228424,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
560,560,7203,6,2,142,0.287,116,683.0,20.0,0.5138451457023621,1.8646063804626465,2.24903,1.15751218796,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
561,561,7203,6,2,132,0.232,116,663.0,15.0,0.490302175283432,1.652719497680664,2.42167,0.535977303982,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
562,562,7226,6,2,118,0.198,116,677.0,19.0,0.5067358016967772,1.8006222248077393,1.8606,0.969825088978,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
563,563,7226,6,2,119,0.445,116,678.0,19.0,0.5081830024719238,1.813646912574768,1.90159,1.00803101063,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
564,564,7226,6,1,48,0.457,116,679.0,19.0,0.5094958543777466,1.8254624605178835,2.46833,1.04268980026,basal,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
565,565,7226,6,2,144,0.1,116,676.0,18.0,0.5053287148475647,1.7879582643508911,2.18535,0.932677567005,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
566,566,7250,6,2,140,0.913,116,675.0,18.0,0.5042931437492371,1.7786386013031004,1.92641,0.905339717865,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
567,567,7250,6,1,6,0.086,116,657.0,13.0,0.4831156134605408,1.5880405902862549,2.64327,0.34625223279,basal,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
568,568,7250,6,1,5,0.383,116,661.0,14.0,0.4880063533782959,1.6320571899414062,2.79927,0.475367605686,basal,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
569,569,7250,6,1,6,0.237,116,673.0,18.0,0.502065896987915,1.7585930824279783,2.695,0.846539795399,basal,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
570,570,7425,6,2,109,0.5,116,677.0,19.0,0.5069268345832825,1.80234169960022,2.41393,0.974869012833,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
571,571,7425,6,2,109,0.533,116,661.0,14.0,0.48856207728385925,1.6370586156845093,2.43363,0.490038633347,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
572,572,7425,6,2,109,0.566,116,678.0,19.0,0.5085003972053528,1.8165036439895628,2.45399,1.01641058922,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
573,573,7425,6,2,109,0.599,116,668.0,16.0,0.49622496962547297,1.7060247659683228,2.47349,0.6923391819,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
574,574,7432,6,1,55,0.623,116,687.0,22.0,0.5185402035713196,1.906861901283264,2.66852,1.28146159649,basal,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
575,575,7432,6,1,55,0.715,116,661.0,14.0,0.4886648654937744,1.6379839181900024,2.69067,0.492752790451,basal,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
576,576,7432,6,1,55,0.796,116,679.0,19.0,0.5096777081489562,1.8270994424819944,2.71073,1.04749178886,basal,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
577,577,7529,6,2,97,0.955,116,679.0,19.0,0.5098559260368347,1.8287035226821895,2.76825,1.05219686031,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
578,578,7529,6,2,108,0.589,116,665.0,15.0,0.4927135109901428,1.6744215488433836,2.67001,0.599636375904,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
579,579,7575,6,2,86,0.131,116,665.0,15.0,0.49334967136383057,1.6801470518112183,1.41288,0.616431236267,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
580,580,7575,6,2,123,0.259,116,658.0,13.0,0.48439872264862066,1.599588394165039,2.38883,0.38012611866,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
581,581,7575,6,2,123,0.229,116,687.0,22.0,0.5192434787750244,1.913191080093384,2.4072,1.30002713203,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
582,582,7575,6,1,28,0.724,116,657.0,13.0,0.4833944737911224,1.5905503034591675,3.10159,0.353614389896,basal,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
600,600,7642,6,2,94,0.823,116,682.0,20.0,0.5133693218231201,1.8603241443634035,1.83731,1.14495062828,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
601,601,7642,6,2,94,0.752,116,676.0,18.0,0.505876898765564,1.7928920984268188,1.85868,0.947149991989,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
602,602,7651,6,2,14,0.916,116,665.0,15.0,0.49252116680145264,1.672690510749817,1.09116,0.59455883503,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
603,603,7651,6,2,38,0.665,116,674.0,18.0,0.5031551718711853,1.768396496772766,1.67594,0.875296294689,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
604,604,7738,6,2,120,0.053,116,677.0,19.0,0.5066964030265808,1.800267457962036,2.06805,0.968784570694,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
605,605,7738,6,2,0,0.706,116,675.0,18.0,0.5048505663871765,1.783655285835266,2.38771,0.920055568218,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
606,606,7738,6,2,0,0.592,116,676.0,18.0,0.505918562412262,1.7932667732238767,2.40743,0.948249340057,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
607,607,7738,6,2,0,0.459,116,679.0,19.0,0.5088523030281067,1.8196706771850584,2.42976,1.02570056915,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
608,608,7780,6,1,9,0.614,116,655.0,12.0,0.48154753446578974,1.5739277601242063,2.62469,0.304854691029,basal,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
609,609,7780,6,2,14,0.974,116,662.0,14.0,0.4897349178791046,1.6476143598556519,1.52582,0.521002173424,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
610,610,7780,6,2,84,0.049,116,669.0,16.0,0.49745973944664,1.717137575149536,1.54834,0.724937021732,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
611,611,7967,16,2,4,0.589,116,672.0,17.0,0.501350462436676,1.7521538734436035,1.17039,0.827651500702,apical,L4_PC,ProbAMPANMDA_EMS,1.0,0.4
612,612,7967,16,2,114,0.417,116,674.0,18.0,0.5034193396568297,1.7707737684249876,0.628795,0.882269799709,apical,L4_PC,ProbAMPANMDA_EMS,1.0,0.4
613,613,7967,16,2,98,0.39,116,678.0,19.0,0.508527398109436,1.8167468309402464,0.712055,1.01712405682,apical,L4_PC,ProbAMPANMDA_EMS,1.0,0.4
614,614,7967,16,2,94,0.267,116,672.0,17.0,0.500970721244812,1.7487363815307615,0.588944,0.817626714706,apical,L4_PC,ProbAMPANMDA_EMS,1.0,0.4
615,615,7991,16,2,89,0.879,116,659.0,13.0,0.48592209815979,1.613298773765564,0.772971,0.420343160629,apical,L4_PC,ProbAMPANMDA_EMS,1.0,0.4
616,616,7991,16,2,7,0.342,116,682.0,20.0,0.512933611869812,1.8564027547836304,1.50314,1.13344812393,apical,L4_PC,ProbAMPANMDA_EMS,1.0,0.4
617,617,7991,16,2,111,0.366,116,665.0,15.0,0.4928587973117828,1.6757291555404663,1.53603,0.603472232819,apical,L4_PC,ProbAMPANMDA_EMS,1.0,0.4
618,618,7991,16,1,66,0.412,116,669.0,16.0,0.4971778392791748,1.7146004438400269,1.90421,0.717494666576,basal,L4_PC,ProbAMPANMDA_EMS,1.0,0.4
619,619,7991,16,1,81,0.114,116,674.0,18.0,0.5031694769859314,1.7685252428054807,1.8876,0.875673890114,basal,L4_PC,ProbAMPANMDA_EMS,1.0,0.4
620,620,7991,16,1,66,0.429,116,676.0,19.0,0.5062097907066345,1.795888304710388,1.91555,0.955938994884,basal,L4_PC,ProbAMPANMDA_EMS,1.0,0.4
621,621,7992,16,2,126,0.848,116,682.0,20.0,0.5126293301582336,1.8536639213562007,1.25431,1.12541413307,apical,L4_PC,ProbAMPANMDA_EMS,1.0,0.4
622,622,7992,16,2,126,0.783,116,678.0,19.0,0.5087904930114746,1.8191142082214355,1.2762,1.02406835556,apical,L4_PC,ProbAMPANMDA_EMS,1.0,0.4
623,623,7992,16,2,126,0.892,116,683.0,20.0,0.5139421820640564,1.8654795885086055,1.25193,1.16007351875,apical,L4_PC,ProbAMPANMDA_EMS,1.0,0.4
