,synapse_id,pre_cell_id,pre_mtype,sectionlist_id,sectionlist_index,seg_x,synapse_type,dep,fac,use,tau_d,delay,weight,section_name,pre_mtype_name,synapse_model,GABAAB_ratio,e_GABAA,e_GABAB
39,39,115,1,2,26,0.273,1,610.0,19.0,0.21902838349342343,7.775865077972413,0.949133,0.697966217995,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
40,40,115,1,2,18,0.906,1,442.0,15.0,0.1653975546360016,6.868266582489014,0.743424,0.471066594124,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
41,41,115,1,2,72,0.279,1,519.0,17.0,0.1899400949478149,7.28360176086426,1.07533,0.574900388718,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
42,42,115,1,2,73,0.21,1,1098.0,30.0,0.3757885992527008,10.428730010986328,0.991175,1.36118257046,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
43,43,115,1,2,31,0.066,1,1004.0,28.0,0.34552690386772156,9.916608810424803,0.44791,1.23315227032,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
44,44,115,1,2,31,0.068,1,762.0,22.0,0.26783359050750727,8.601799011230467,0.450851,0.904449760914,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
45,45,115,1,2,31,0.064,1,364.0,13.0,0.14023248851299283,6.442395687103272,0.449711,0.364598959684,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
46,46,115,1,2,34,0.25,1,951.0,26.0,0.32849982380867004,9.628458023071287,0.544614,1.16111457348,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
47,47,115,1,2,31,0.161,1,666.0,20.0,0.2371121048927307,8.081896781921385,0.529504,0.774474322796,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
48,48,115,1,2,31,0.517,1,718.0,21.0,0.2538129985332489,8.364527702331545,0.621558,0.845131933689,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
49,49,115,1,2,41,0.682,1,556.0,18.0,0.20193131268024445,7.48652982711792,0.998073,0.625632464886,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
50,50,115,1,2,41,0.861,1,812.0,23.0,0.2839486002922058,8.87451457977295,1.00327,0.972628712654,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
51,51,115,1,2,41,0.805,1,519.0,17.0,0.19007146358489993,7.2858247756958,0.996892,0.575456142426,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
52,52,115,1,2,29,0.738,1,777.0,23.0,0.2726566791534424,8.683420181274414,2.40915,0.924855172634,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
53,53,145,1,2,23,0.507,1,871.0,25.0,0.30301621556282043,9.197196960449217,1.18542,1.05329930782,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
54,54,145,1,2,19,0.143,1,517.0,17.0,0.1894157975912094,7.274728775024414,0.907362,0.572682201862,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
55,55,145,1,2,19,0.181,1,1010.0,28.0,0.3476642370223999,9.952779769897461,0.926192,1.24219489098,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
56,56,145,1,2,31,0.026,1,1052.0,29.0,0.3612062931060791,10.181952476501465,0.546084,1.29948806763,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
57,57,145,1,2,75,0.616,1,590.0,18.0,0.21276643872261047,7.669893741607666,0.892399,0.671473383904,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
58,58,145,1,2,75,0.523,1,1071.0,29.0,0.3672642111778259,10.28447151184082,0.917308,1.32511782646,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
59,59,145,1,2,75,0.439,1,761.0,22.0,0.2676469385623932,8.598640441894531,0.935896,0.903660058975,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
60,60,145,1,2,31,0.189,1,830.0,24.0,0.2897476255893707,8.972652435302734,0.192424,0.997163057327,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
61,61,145,1,2,31,0.188,1,448.0,15.0,0.16725419461727142,6.899686336517334,0.191466,0.478921622038,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
62,62,145,1,2,34,0.268,1,761.0,22.0,0.2676486372947693,8.598669052124022,0.224713,0.903667271137,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
63,63,339,3,2,19,0.459,1,664.0,20.0,0.2363650053739548,8.069253921508789,0.846342,0.771313488483,apical,L1_HAC,ProbGABAAB_EMS,0.75,-80.0,-75.84
64,64,339,3,2,26,0.433,1,881.0,25.0,0.3061928451061249,9.25095558166504,0.804787,1.06673896313,apical,L1_HAC,ProbGABAAB_EMS,0.75,-80.0,-75.84
